GP_name,quali_pos,constructor,driver,position,driver_confidence,constructor_relaiblity,active_driver,active_constructor,dob
Bahrain International Circuit,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Bahrain International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Albert Park Grand Prix Circuit,11,McLaren,Lewis Hamilton,11,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Albert Park Grand Prix Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Sepang International Circuit,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Sepang International Circuit,20,McLaren,Lewis Hamilton,20,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Shanghai International Circuit,6,McLaren,Lewis Hamilton,6,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Shanghai International Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Circuit de Barcelona-Catalunya,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Monaco,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit de Monaco,5,McLaren,Lewis Hamilton,5,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Istanbul Park,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Istanbul Park,3,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Circuit Gilles Villeneuve,1,McLaren,Lewis Hamilton,1,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit Gilles Villeneuve,2,Red Bull,Sebastian Vettel,3,-3.5,-16.5,1,1,1987-07-03
Valencia Street Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Valencia Street Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Silverstone Circuit,4,McLaren,Lewis Hamilton,4,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Silverstone Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Hockenheimring,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Hockenheimring,6,McLaren,Lewis Hamilton,6,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Hungaroring,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
Hungaroring,5,McLaren,Lewis Hamilton,5,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Spa-Francorchamps,2,McLaren,Lewis Hamilton,2,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Circuit de Spa-Francorchamps,4,Red Bull,Sebastian Vettel,4,-3.5,-16.5,1,1,1987-07-03
Autodromo Nazionale di Monza,6,Red Bull,Sebastian Vettel,6,-3.5,-16.5,1,1,1987-07-03
Autodromo Nazionale di Monza,5,McLaren,Lewis Hamilton,5,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Marina Bay Street Circuit,2,Red Bull,Sebastian Vettel,2,-3.5,-16.5,1,1,1987-07-03
Marina Bay Street Circuit,3,McLaren,Lewis Hamilton,3,-4.472636815920398,-39.852130325814535,1,1,1985-01-07
Suzuka Circuit,1,Red Bull,Sebastian Vettel,1,-3.5,-16.5,1,1,1987-07-03
